vörå komunionbok 1750-1756 images at
https://www.familysearch.org/ark:/61903/3:1:3Q9M-C95J-93MK-M?i=235&cat=2575868

image   by hem
  1     book cover title
  2     rekipeldoby pets+jåfs
  3     rekipeldoby smeds
  4     rekipeldoby lillkarhu+storkarhu
  5     rekipeldoby simons
  6     rekipeldoby omars
  7     rekipeldoby clemets
  8     rekipeldoby israels
  9     rekipeldoby joskarhu
 10     rekipeldoby wäst
 11     rekipeldoby korfwolain
 12     rekipeldoby långs
 13     rekipeldoby bängs
 14     rekipeldoby kastus
 15     rekipeldoby ehrs
 16     rekipeldoby bions+pörnull
 17     rekipeldoby soldater och inhyses folk
 18     rekipeldoby 
 19     jörala bertils
 20     jörala bertils
 21     jörala hertull
 22     jörala heinull
 23     jörala kattil
 24     jörala kattil
 25     jörala jåfs
 26     jörala jakobs
 27     jörala nickull
 28     jörala johans+kaurijerfvi
 29     jörala soldater och hus folk
 30     andiala hirsal+hertus
 31     andiala mannil
 32     andiala nyby+antill
 33     andiala ruts
 34     andiala grannas
 35     andiala soldater och hys folk
 36     lomby rasmus+ohlis
 37     lomby budd
 38     lomby nissil
 39     lomby knus
 40     lomby skrifwars
 41     lomby kylkinen
 42     lomby thors+ingo
 43     lomby kaustinen
 44     lomby martois
 45     lomby kulpas+jäppel
 46     lomby lomby soldater och inhyses folk
 47     lomby [etc]
 48     bergby jussill
 49     bergby kiötars
 50     bergby ollil
 51     bergby smeds
 52     bergby kånsti
 53     bergby kierpas
 54     bergby kierpas
 55     bergby thalus
 56     bergby jåpers
 57     bergby soldater och huses folk
 58     kåskeby storknäck
 59     kåskeby lillknäck
 60     kåskeby kråkas
 61     kåskeby sippus
 62     kåskeby clemets
 63     kåskeby knubb
 64     kåskeby gråbbils
 65     kåskeby råndmans
 66     kåskeby camminen
 67     kåskeby bängs
 68     kåskeby dahlkarls
 69     kåskeby nickonen
 70     kåskeby soldater och inhyses folck
 71     kåskeby [etc]
 72     miemosby jufvas+miemos
 73     miemosby tunis
 74     miemosby miemos
 75     miemosby kroks
 76     miemosby karjalain
 77     miemosby grims
 78     miemosby grims
 79     miemosby husfolck
 80     mäkipä andtåhlis
 81     mäkipä grägg
 82     mäkipä gammals
 83     mäkipä wöråborg
 84     mäkipä säppas
 85     mäkipä storlund+ohlis
 86     mäkipä lillund
 87     mäkipä murckais
 88     mäkipä murckais
 89     mäkipä soldater och inhyses folck
 90     mäkipä [etc]
 91     rökiöby pytar
 92     rökiöby kullas
 93     rökiöby antus
 94     rökiöby räx
 95     rökiöby höijers
 96     rökiöby knuts
 97     rökiöby brams
 98     rökiöby smårus
 99     rökiöby gammals
100     rökiöby antbrams
101     rökiöby baggas
102     rökiöby påhls
103     rökiöby swäns
104     rökiöby klärk
105     rökiöby nygårds
106     rökiöby [etc]
107     rökiöby holms
108     rökiöby soldater och hus folck
109     rökiöby [etc]
110     rökiöby [etc]
111     tuckur brors
112     tuckur akers
113     tuckur akers
114     tuckur kåck...
115     tuckur jånt
116     tuckur skått
117     tuckur skått
118     tuckur swähls
119     tuckur back
120     tuckur räx
121     tuckur ehrs
122     tuckur finne
123     tuckur jåfs
124     tuckur grind
125     tuckur soldater och in hyses folck
126     tuckur husfolk
127     kåfjoki widdas
128     kåfjoki bertils
129     kåfjoki bertils
130     kåfjoki månsus
131     kåfjoki smedz
132     kåfjoki ingo
133     kåfjoki soldater och inhyses folck
134     karfsor tåss
135     karfsor perus
136     karfsor håfman
137     karfsor herr
138     karfsor kafvus och simons
139     karfsor antus
140     karfsor skarpar
141     karfsor håf
142     karfsor soldater och hus folk
143     kaitsor håkus
144     kaitsor bertils
145     kaitsor bertils
146     kaitsor präst
147     kaitsor heikins
148     kaitsor hannus
149     kaitsor hannus
150     kaitsor sigfreids
151     kaitsor kejsar+finnas
152     kaitsor soldater och hus folk
153     karfwat ulfwis
154     karfwat eurs
155     karfwat kåck
156     karfwat rännars
157     karfwat lassus
158     karfwat pets
159     karfwat soldater och inhyses folk
160     bertby storkålax
161     bertby lillkålax
162     bertby finnas
163     bertby strandas
164     bertby swäns
165     bertby antus
166     bertby ållus
167     bertby trött
168     bertby pedars
169     bertby mattus
170     bertby thors
171     bertby gåll
172     bertby jåfs
173     bertby toppars
174     bertby zachris
175     bertby zachris
176     bertby backils
177     bertby soldater och inhyses folk
178     bertby soldater och inhyses folk
179     lålax bredfors
180     lålax haga
181     lålax måsa
182     lålax dunck
183     lålax änges
184     lålax ållus
185     lålax jåssis
186     lålax jåfs
187     lålax hellsing
188     lålax soldater och inhyses folck
189     lotlax norken
190     lotlax slögs
191     lotlax slögs
192     lotlax blussi
193     lotlax lassus
194     lotlax backull
195     lotlax backull
196     lotlax helsings
197     lotlax kullas
198     lotlax ohls
199     lotlax skata
200     lotlax åkers
201     lotlax snickars
202     lotlax klafvus
203     lotlax rännars
204     lotlax huggar
205     lotlax kroks
206     lotlax soldater och inhyses folck
207     lotlax [etc]
208     palvis ströms
209     palvis ehrs
210     palvis skåttar
211     palvis skåttar
212     palvis petois
213     palvis lassus
214     palvis yrjas
215     palvis knus
216     palvis soldater och inhyses folk
217     oxgangar antus
218     oxgangar nissus
219     oxgangar skratars
220     oxgangar skieppars
221     oxgangar sigfredz
222     oxgangar ryssas
223     oxgangar abrahams
224     oxgangar fussius
225     kimoby agnisbäck
226     keskis -
227     keski brännars
228     kimoby kuckoi
229     kimoby kuckoi
230     prästegården -
231     prästegården -
232     prästegården [etc]+pållars
233     prästegården dränghus
234     prästegården saltpetter siudaren
235     prästegården skiär wachten på kocklot
236     blank
